datetime,Haifa_broken clouds,Haifa_drizzle,Haifa_dust,Haifa_few clouds,Haifa_fog,Haifa_haze,Haifa_heavy intensity rain,Haifa_heavy intensity shower rain,Haifa_light rain,Haifa_mist,Haifa_moderate rain,Haifa_overcast clouds,Haifa_proximity thunderstorm,Haifa_scattered clouds,Haifa_shower rain,Haifa_sky is clear,Haifa_thunderstorm,Haifa_thunderstorm with heavy rain,Haifa_thunderstorm with light rain,Haifa_thunderstorm with rain,Haifa_nan,humidity,wind_direction,temperature,pressure,wind_speed
2016-11-30,0.03338281569567187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047473311689777115,0.0,0.06969156627181,0.0,0.0,0.022240546764974736,0.0,0.1436135186981591,0.0,0.0,0.0,0.0,0.0,0.22189520775971758,0.13688847942211455,0.13032214648881388,0.11609442972130225,0.07839797748765893
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07833596931658872,0.0,0.12165678378392612,0.0,0.0,0.028100205806868866,0.0,0.0,0.0,0.0,0.027604114137233942,0.03889332583291889,0.0,0.24968398925257104,0.17158604540009356,0.10318924073392961,0.0838498633717747,0.09710046236409453
2016-12-02,0.0424505267059223,0.0,0.0,0.03713245742434539,0.0,0.0,0.0,0.0,0.05365473060510925,0.049488363330417895,0.01961909512246605,0.01902514423407037,0.0,0.03728567550043291,0.012516645472742493,0.0,0.0,0.0,0.0,0.0,0.0,0.2054023046358713,0.19621945257783865,0.10198128906978804,0.12103715375542447,0.10871703815537832
2016-12-03,0.02349734071344335,0.0,0.0,0.03729554496049866,0.0,0.04926712864745008,0.0,0.0,0.035577790463642865,0.06312301333550711,0.0,0.05755673936262947,0.0,0.012738513925499469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24395388165257048,0.13581163444918762,0.09968089303770704,0.1828958880188433,0.05860163143302053
2016-12-04,0.02208072772262287,0.0,0.0,0.03611415212873865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011843313319986356,0.0,0.03359169770824806,0.0,0.2130338520920366,0.0,0.0,0.0,0.0,0.0,0.21733159100547272,0.09006766481571878,0.12410014035191878,0.20540211816501142,0.04643474269024578
2016-12-05,0.07014466595895197,0.0,0.0,0.041771944375662194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023686626639972713,0.0,0.02737002746344969,0.0,0.14027278375606478,0.0,0.0,0.0,0.0,0.0,0.21088639393754546,0.1266207908470363,0.12309257466362973,0.18564445848507874,0.05050973387260841
2016-12-06,0.03447120423404874,0.0,0.0,0.05316512070009669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02277780124741913,0.0,0.20736041876998898,0.0,0.0,0.0,0.0,0.0,0.21963211907219873,0.07886272333981854,0.12503868121322934,0.20216128644914066,0.05653064497405913
2016-12-07,0.018663076742305818,0.0,0.0,0.033254087864495574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02762971308747487,0.0,0.2348889908993473,0.0,0.0,0.0,0.0,0.0,0.1898204519165556,0.12303093410152018,0.1191026778401559,0.20374099265305223,0.04986907489509249
2016-12-08,0.018663076742305818,0.0,0.0,0.0619056672462705,0.0,0.0,0.0,0.0,0.05357742933892289,0.0,0.0,0.023939628483145268,0.0,0.0,0.0,0.15831462946153343,0.0,0.0,0.0,0.0,0.0,0.23502661616271414,0.07455465902137433,0.10824592932225531,0.2097664309999794,0.056005933221498855
2016-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312283107798403,0.0,0.0,0.0,0.0,0.0,0.2165126126230019,0.09525545924394584,0.10293165758341188,0.22638929392459875,0.046627868826638635
2016-12-10,0.0,0.0,0.0,0.19718084225487223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031303751922724,0.0,0.0,0.0,0.09748816322995257,0.0,0.0,0.0,0.0,0.0,0.2078022244402616,0.14547657816285983,0.10817009446066844,0.19185705056793925,0.03171200936421884
2016-12-11,0.057457814315950075,0.0,0.0,0.05732807812840979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09320561869480504,0.0,0.0669737570471518,0.0,0.03012893304271144,0.0,0.0,0.0,0.0,0.0,0.22541961163621874,0.14784506736677547,0.10911938516785792,0.18406065279864012,0.028461081801479608
