datetime,Chicago_broken clouds,Chicago_drizzle,Chicago_dust,Chicago_few clouds,Chicago_fog,Chicago_freezing rain,Chicago_haze,Chicago_heavy intensity drizzle,Chicago_heavy intensity rain,Chicago_heavy snow,Chicago_light intensity drizzle,Chicago_light rain,Chicago_light rain and snow,Chicago_light snow,Chicago_mist,Chicago_moderate rain,Chicago_overcast clouds,Chicago_proximity shower rain,Chicago_proximity thunderstorm,Chicago_proximity thunderstorm with drizzle,Chicago_proximity thunderstorm with rain,Chicago_scattered clouds,Chicago_sky is clear,Chicago_smoke,Chicago_snow,Chicago_squalls,Chicago_thunderstorm,Chicago_thunderstorm with drizzle,Chicago_thunderstorm with heavy rain,Chicago_thunderstorm with light drizzle,Chicago_thunderstorm with light rain,Chicago_thunderstorm with rain,Chicago_very heavy rain,Chicago_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03234425533638034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2375646347900124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800324351072539,0.13731274617589642,0.2071930093849722,0.1898353662101275,0.01571755299535728
2013-08-21,0.07543009482402153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03184302737801997,0.0,0.0,0.0,0.0,0.07622490495900712,0.07459481771239175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731333979229224,0.16132646916187987,0.21008258612040684,0.18064375157997903,0.016720950341371495
2013-08-22,0.022213742812719012,0.0,0.0,0.0641762367599617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01051589862806364,0.0,0.0,0.0,0.0,0.0,0.03230821051489877,0.11868151152102992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01101652878023951,0.0,0.1669886377829833,0.15481729321483403,0.2179338101198478,0.1796886442984219,0.02165948556700038
2013-08-23,0.030252540959752855,0.0,0.0,0.011409432676856845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03958896879275094,0.0,0.0,0.0,0.06377433906231646,0.0,0.0,0.00988233334234417,0.0,0.0,0.0,0.08736112195700435,0.0,0.0,0.0,0.010481861313083185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21391594366643152,0.12761544301753477,0.20354600706884207,0.17593823752346008,0.026233770619622707
2013-08-24,0.023513109782274732,0.0,0.0,0.046626239598292034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045934729355381475,0.0,0.0,0.04690474502456351,0.0,0.011390629701033857,0.0,0.0,0.0,0.0,0.03554999217423139,0.0732934684010021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21205282399422634,0.04776809135471583,0.21917943381481395,0.2043521093622168,0.03343462743724799
2013-08-25,0.03374572343039841,0.0,0.0,0.04364252827456317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033538352687875604,0.16223184641859886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18309258698807251,0.11485329380314424,0.21106261381933733,0.19793178975768896,0.01990126482032094
2013-08-26,0.0,0.0,0.0,0.02262381482703403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24040749777462442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15422678469962367,0.14958746381054344,0.21509833148731713,0.19044606328600247,0.02761004411485482
2013-08-27,0.020690417719624227,0.0,0.0,0.07176306221149072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040909585268183064,0.11575433390276994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16504550794839923,0.15985746378269686,0.21525228687512785,0.1813795162720434,0.029347826019664697
2013-08-28,0.08556240025020619,0.0,0.0,0.09253666112582769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04251651485951189,0.0336314564446885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18036294642194683,0.13974737372795507,0.22034835786914042,0.17481099361270477,0.030483295688018646
2013-08-29,0.0,0.0,0.0,0.034687920011414325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23556115601982971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21552766146042002,0.0742792097411948,0.22124439816561306,0.1896960428198745,0.029003611781653563
2013-08-30,0.0,0.0,0.0,0.011557527423496613,0.0,0.0,0.011149176346623262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261141249367225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13365451666046876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132189239167499,0.06482398811003316,0.2284142938517009,0.1961615267654693,0.014905921988735546
2013-08-31,0.0,0.0,0.0,0.033645215231874435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033921178026857686,0.0,0.0,0.01193767164594924,0.06747391597026496,0.0,0.0,0.0,0.0,0.0,0.011216186519633861,0.11675434762491538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23614087810879178,0.04663193912718327,0.2157399806930477,0.19662938369083494,0.02990930336064672
2013-09-01,0.08330208706139776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028581613390172348,0.0,0.0,0.0,0.04519230310618585,0.0,0.0,0.0,0.0,0.0,0.09534678264629927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873405846574092,0.11273013314300225,0.19726572316124621,0.180471055573544,0.018376243452411442
2013-09-02,0.00980633921200403,0.0,0.0,0.0592159939877033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03855635707289284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01066242497028967,0.1327777390324729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053873695297523,0.15338970575335278,0.1944616479447923,0.16867496430086462,0.027067458195875263
2013-09-03,0.0,0.0,0.0,0.018899116050392562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775761710827113,0.0,0.0,0.009437164740599175,0.20054661516240402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20979071894851206,0.1854433621764102,0.17460553498764222,0.17395755150592862,0.017544174717284013
