datetime,Seattle_broken clouds,Seattle_drizzle,Seattle_few clouds,Seattle_fog,Seattle_haze,Seattle_heavy intensity drizzle,Seattle_heavy intensity rain,Seattle_heavy intensity shower rain,Seattle_heavy snow,Seattle_light intensity drizzle,Seattle_light intensity shower rain,Seattle_light rain,Seattle_light shower snow,Seattle_light snow,Seattle_mist,Seattle_moderate rain,Seattle_overcast clouds,Seattle_proximity thunderstorm,Seattle_scattered clouds,Seattle_shower rain,Seattle_sky is clear,Seattle_smoke,Seattle_snow,Seattle_squalls,Seattle_thunderstorm,Seattle_thunderstorm with heavy rain,Seattle_thunderstorm with light rain,Seattle_thunderstorm with rain,Seattle_very heavy rain,Seattle_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035826966501764826,0.0,0.0,0.0,0.2476609319987603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1985991867134219,0.17656849268351715,0.12788485771444832,0.18639277499028828,0.02706678939779919
2015-04-23,0.04972593295511282,0.0,0.036666120189395475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268337441173062,0.0,0.0,0.0,0.04846036746369093,0.0,0.0,0.08631317886273122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1964225573704748,0.17291260622111518,0.1238601928970303,0.18181942564293005,0.0311362439857886
2015-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053176512059288,0.0,0.0,0.0,0.1768643104647765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24179784979342048,0.1662016732370117,0.11504128696540479,0.1516710679777802,0.04310616035567751
2015-04-25,0.011732239683024788,0.0,0.03577044228409292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025787179472463,0.0,0.0,0.0,0.048106664288588875,0.059489879232261796,0.0,0.03542737857280332,0.0,0.02365516261549098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116523090594857,0.18133370744006605,0.11737390920827029,0.16785041281755,0.01783710115717776
2015-04-26,0.07412029795863072,0.0,0.036451525448735235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048686060820335976,0.0,0.0,0.0,0.0,0.024174398636762573,0.0,0.07422634559879165,0.0,0.03675095441777085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22607690931853908,0.14374311803835524,0.11902574222353263,0.20197831857404613,0.014766328964499963
2015-04-27,0.07112157220705477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22313287452318095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21460453942594163,0.1112089416953263,0.15181305971438716,0.21194488428530311,0.016174128148806078
2015-04-28,0.0,0.0,0.023995854800395913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19596474613769957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08005031777068494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20090528079150968,0.11976684642767615,0.1671877990690812,0.18765274931335388,0.024476405689598593
2015-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28038487035157406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095969172683935,0.15834362635050944,0.12784601075413984,0.20052537984622698,0.023303195429156164
2015-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04666411187473029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23286534764249636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867332175210516,0.16620175199617312,0.1354805737767479,0.20792051880996434,0.02219437414778282
2015-05-01,0.07361841608904501,0.0,0.024943790862555392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12247204616046185,0.0,0.06717023652057827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18325376117361436,0.17833629887183564,0.14647292424516625,0.191064083889082,0.012668442187661269
2015-05-02,0.0701669714032907,0.0,0.028051393006681618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014351404585549747,0.0,0.11343699806297948,0.0,0.10193619291081167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908530563430607,0.07880629932256622,0.16957357115254423,0.20833305458749504,0.024491058625020573
2015-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3253002895272297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18137459560582903,0.11358662296831647,0.15844015698494945,0.20111571800531625,0.020182616908359104
2015-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901081710345283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16865990728711602,0.2036239486836495,0.14428120361534685,0.16704238855443532,0.026284380824924083
2015-05-05,0.0,0.0,0.05935880048197015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1726212450747536,0.0,0.0,0.0,0.0,0.0,0.0,0.046253327070494656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19952730095603147,0.1736379110433193,0.13016994654321748,0.17445303727411132,0.04397843155610207
