datetime,Indianapolis_broken clouds,Indianapolis_drizzle,Indianapolis_few clouds,Indianapolis_fog,Indianapolis_freezing rain,Indianapolis_haze,Indianapolis_heavy intensity drizzle,Indianapolis_heavy intensity rain,Indianapolis_heavy snow,Indianapolis_light intensity drizzle,Indianapolis_light intensity shower rain,Indianapolis_light rain,Indianapolis_light snow,Indianapolis_mist,Indianapolis_moderate rain,Indianapolis_overcast clouds,Indianapolis_proximity thunderstorm,Indianapolis_proximity thunderstorm with rain,Indianapolis_scattered clouds,Indianapolis_sky is clear,Indianapolis_snow,Indianapolis_squalls,Indianapolis_thunderstorm,Indianapolis_thunderstorm with heavy rain,Indianapolis_thunderstorm with light drizzle,Indianapolis_thunderstorm with light rain,Indianapolis_thunderstorm with rain,Indianapolis_very heavy rain,Indianapolis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31011422263235366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1773885772370604,0.09847274136843893,0.18912961384380245,0.20220912969589008,0.022685715222454536
2013-09-15,0.012095614155201884,0.0,0.0245776405076216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02435273157432506,0.0,0.0,0.012337092539691416,0.21768441478303868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17568523345009227,0.13517476451752228,0.18225195051659182,0.18877317331000218,0.02706738464591284
2013-09-16,0.025137180883361004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07416274127080805,0.0,0.0,0.0,0.19932106753930937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21251533732350358,0.04827766341184106,0.19860752976396415,0.19827731515807687,0.04370116464913595
2013-09-17,0.0,0.0,0.024064717946044204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02550820513448179,0.25419844129453556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18293329987013598,0.07570983886626069,0.19728832721882936,0.20501642401770984,0.03528074565200256
2013-09-18,0.059210717123746925,0.0,0.03492284142215058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023713218590348795,0.05884610937535837,0.0,0.0,0.04750119847645725,0.05992945369144148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17145305441985573,0.1290935910861354,0.20253554660381104,0.18526887095934508,0.02752539825134931
2013-09-19,0.021229210884759476,0.0,0.022924914353011458,0.0,0.0,0.01064544306914175,0.0,0.010393229899373406,0.0,0.0,0.0,0.07532761742073489,0.0,0.0,0.010625901778231646,0.0,0.010943740529788486,0.0,0.02198089454074942,0.06784419472060522,0.0,0.0,0.010479507195121996,0.0,0.0,0.0,0.0,0.0,0.0,0.18917905021937567,0.1446361627574371,0.20041819879712008,0.166506950943177,0.03686498289137236
2013-09-20,0.06415361225807924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010402636472922017,0.0,0.0,0.04148599727352323,0.021376731606263268,0.0,0.0,0.03228798440887625,0.08582971723428161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19644801405884815,0.15261951545896615,0.1956187615167253,0.15838283306308915,0.041394196648425696
2013-09-21,0.010306496883585552,0.020910640715065112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010138644690484056,0.0,0.019556624574518552,0.12111964965445586,0.0,0.0,0.0,0.0204365151889954,0.04214241066513578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1890381437908558,0.21140677663769436,0.1640635127028433,0.15326080016054291,0.03761978433582334
2013-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132941992176287,0.29597433692843117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19857781990512557,0.07487554294263785,0.19149890363988653,0.19800612753487376,0.02777306983141639
2013-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30781607741097194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21005973226459473,0.07098880545893597,0.1881765169328796,0.199118538975149,0.023840328957468734
