datetime,Detroit_broken clouds,Detroit_drizzle,Detroit_few clouds,Detroit_fog,Detroit_freezing rain,Detroit_haze,Detroit_heavy intensity drizzle,Detroit_heavy intensity rain,Detroit_heavy shower snow,Detroit_heavy snow,Detroit_light intensity drizzle,Detroit_light intensity drizzle rain,Detroit_light intensity shower rain,Detroit_light rain,Detroit_light shower sleet,Detroit_light shower snow,Detroit_light snow,Detroit_mist,Detroit_moderate rain,Detroit_overcast clouds,Detroit_proximity shower rain,Detroit_proximity thunderstorm,Detroit_scattered clouds,Detroit_shower rain,Detroit_shower snow,Detroit_sky is clear,Detroit_smoke,Detroit_snow,Detroit_squalls,Detroit_thunderstorm,Detroit_thunderstorm with heavy rain,Detroit_thunderstorm with light rain,Detroit_thunderstorm with rain,Detroit_very heavy rain,Detroit_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010583534235664598,0.0,0.0,0.0,0.10813898296474517,0.0,0.0,0.0,0.06258277975947793,0.010102140348336291,0.06256287568677137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20008213039501532,0.2422286604189985,0.13673006340399926,0.051794406489295924,0.1318679371639469
2012-11-01,0.0,0.021789495884249194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033229890349729056,0.0,0.0,0.06812816574936183,0.0,0.0,0.0,0.011052819273552955,0.0,0.13351332685156944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21133363549816375,0.23168868913203675,0.14249081005562042,0.05494333951249825,0.09182982769321836
2012-11-02,0.012893686431741163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03418891342787561,0.0,0.0,0.011379414020783673,0.0,0.0,0.0,0.011297961881080123,0.0,0.20261586907409412,0.0,0.0,0.012221097199823956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18074039570477052,0.2343817079655854,0.15824169717212314,0.07770276638790467,0.07939819037628183
2012-11-03,0.012892550266949425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013857209421448751,0.0,0.0,0.0,0.0,0.0,0.26040591966157134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1411814871708397,0.2546511690319145,0.1557256527803054,0.10395067309623811,0.06910046250163616
2012-11-04,0.011684435486106854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20289548337981292,0.0,0.0,0.012559377133432132,0.0,0.0,0.06066651612654491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607064407670622,0.22759784337439473,0.15153367498359993,0.14034984043827725,0.04539859170802422
2012-11-05,0.011225736239465373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13889863169013159,0.0,0.0,0.010993437641176747,0.0,0.0,0.13790850872603286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16358272877773353,0.23984729470449118,0.14939951142693858,0.14554689678057145,0.036676989175486514
2012-11-06,0.014085443818284013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08014763117276104,0.0,0.0,0.01254202729265383,0.0,0.0,0.19559591048108102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18794286967264218,0.20442177380142904,0.15477087039073228,0.11857209794476971,0.0319213754256468
2012-11-07,0.054786462454407214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27516950070246654,0.0,0.0,0.0,0.0,0.0,0.03896302700223161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19731522036747262,0.06803034474531662,0.18506312217935075,0.178646589826868,0.02669013526782073
2012-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07606859027264999,0.0,0.0,0.08329827600704208,0.0,0.0,0.21707225688796514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17559362567105674,0.05585869853314118,0.19599778949421776,0.168260102737667,0.05711626467476952
2012-11-09,0.0,0.0,0.0,0.0,0.0,0.03662238190078962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015660076407312557,0.0,0.0,0.0,0.0,0.02891421995353471,0.0,0.0,0.32769632931210624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013592505983817,0.015996786350038098,0.20648703930593748,0.20837920986266686,0.009224518958828207
2012-11-10,0.0,0.0,0.0,0.0,0.0,0.08722817739100326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19515174038514324,0.0,0.013003657330229188,0.0,0.0,0.0,0.0,0.0,0.07556391297021248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1870460070646999,0.10522126908348335,0.19435240474799542,0.18634304857976278,0.02623203509673284
2012-11-11,0.0405401657343296,0.0,0.0,0.0,0.0,0.06828499911879508,0.0,0.0,0.0,0.0,0.012802959217873874,0.0,0.0,0.02912288474517069,0.0,0.0,0.0,0.05242919805240142,0.0,0.09100377247389453,0.0,0.0,0.012731978291673903,0.0,0.0,0.013209191805211231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23266728425016522,0.06987746967739741,0.19734026038102268,0.15525156407833274,0.024738272173731684
2012-11-12,0.013321180302641856,0.0,0.01341697489742462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012534696861052068,0.0,0.0,0.25714310264021917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17048630992980915,0.13841947355886092,0.2007319659583199,0.11577633583725115,0.07816996001442111
2012-11-13,0.023972957193075035,0.0,0.0,0.0,0.0,0.0,0.011246524759730156,0.0,0.0,0.0,0.012071658001551501,0.0,0.0,0.0545614133814184,0.0,0.0,0.0,0.010482797743168322,0.022525871670126638,0.044942095522567026,0.0,0.0,0.02480505381339548,0.0,0.0,0.08124002625728104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17236957862131772,0.17077993100573807,0.18086392082532077,0.12151560736176907,0.08298669539531722
2012-11-14,0.02399017782639973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045627487933676665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20624882929627672,0.0,0.0,0.01178152393355354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13523408568193399,0.20448723385786627,0.1400409496880424,0.17249474663698428,0.0600949651452664
2012-11-15,0.011993994039310986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016300370812819858,0.0,0.0,0.028971800826271266,0.0,0.0,0.30609467098090976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19523320498003963,0.030924535975715026,0.1694827577133298,0.25113731754275687,0.006130780877183414
2012-11-16,0.0,0.0,0.10342882374923877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346954351294629,0.0,0.0,0.08389603900891178,0.0,0.0,0.015140485852334648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2426827437002215,0.09138066081037727,0.16949939920667798,0.14245458197879332,0.01682183056398182
2012-11-17,0.0,0.0,0.0,0.0,0.0,0.054024366651250454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020247979780819134,0.0,0.08350672032047048,0.0,0.0,0.0,0.0,0.0,0.17522510872056504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18276596162574688,0.1685634734476014,0.17916958097490387,0.17911383937874917,0.010689707907403033
2012-11-18,0.0,0.0,0.0,0.07193671430531196,0.0,0.05435319717779293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12883084812774043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10427937045717484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20871203286113577,0.04581424315478908,0.18865743282175015,0.2502962085448324,0.007994295467303738
2012-11-19,0.0,0.0,0.0,0.050713741514285565,0.0,0.10326375712126616,0.0,0.0,0.0,0.012181756461348664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05344301507239201,0.0,0.0,0.0,0.0,0.011835056281262265,0.0,0.0,0.08502201104108272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24958301194294794,0.037740978468977414,0.1741292914247257,0.21562260194155805,0.01686407089444301
2012-11-20,0.0,0.0,0.0,0.0684369640769229,0.0,0.01488275138656102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013261500391026101,0.0,0.0,0.0,0.09448112738438934,0.0,0.0,0.0,0.0,0.013934665063650807,0.0,0.0,0.13338098765756798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26178502743667986,0.037360680725854155,0.18252803943931892,0.20384955727911128,0.00882182758850265
2012-11-21,0.0,0.0,0.0,0.01468196613647014,0.0,0.07341403900721251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139903608808823,0.0,0.0,0.0,0.08722524718099513,0.0,0.10625768158430193,0.0,0.0,0.0,0.0,0.0,0.060938606364056215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24132514135657404,0.014123029268830238,0.2059567972216667,0.17901880991294994,0.003068321086060859
2012-11-22,0.0,0.0,0.0,0.09896083483721159,0.0,0.026241853728165437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02949146885691901,0.0,0.0,0.0,0.0725393804415077,0.0,0.014410594220439506,0.0,0.0,0.0,0.0,0.0,0.0879294952033733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23594996955373573,0.059168196547648544,0.19330953998727637,0.16952369935892966,0.012474967264793137
2012-11-23,0.0,0.0,0.0,0.011319566950396246,0.0,0.09164762681515241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09406254973336607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087276311785368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994411622224834,0.16735858024218364,0.16985742255337632,0.13553146908023964,0.04350531061743428
2012-11-24,0.026712924376118562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04901196871498567,0.0,0.0,0.0,0.022957163992289576,0.0,0.0,0.0,0.0224731311484926,0.03541372406901539,0.08797215388882203,0.013494624327314188,0.0,0.011260068955576857,0.0,0.0,0.024703676189910925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859009037128911,0.19540694116636237,0.17162779543871687,0.09849049246662965,0.09330378649305986
2012-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011701250601274138,0.034919333542151695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21254613075294382,0.0,0.0,0.011250296868261301,0.0,0.0,0.011976093702904601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13432908188769552,0.22520752405403122,0.13447778349571937,0.12500600414017474,0.0985865009548436
