datetime,Houston_broken clouds,Houston_drizzle,Houston_dust,Houston_few clouds,Houston_fog,Houston_haze,Houston_heavy intensity drizzle,Houston_heavy intensity rain,Houston_heavy intensity shower rain,Houston_light intensity drizzle,Houston_light rain,Houston_light snow,Houston_mist,Houston_moderate rain,Houston_overcast clouds,Houston_proximity moderate rain,Houston_proximity shower rain,Houston_proximity thunderstorm,Houston_proximity thunderstorm with rain,Houston_sand,Houston_scattered clouds,Houston_shower rain,Houston_sky is clear,Houston_smoke,Houston_squalls,Houston_thunderstorm,Houston_thunderstorm with drizzle,Houston_thunderstorm with heavy rain,Houston_thunderstorm with light drizzle,Houston_thunderstorm with light rain,Houston_thunderstorm with rain,Houston_very heavy rain,Houston_volcanic ash,Houston_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-07-07,0.0,0.0,0.0,0.04924283786419639,0.0,0.012698601686027405,0.0,0.0,0.0,0.0,0.01241002379061258,0.0,0.03961513556051375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943720227907336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17403916409144504,0.10744348653920023,0.23733557213325399,0.12575484687048227,0.0470883086735347
2013-07-08,0.01192092041141561,0.0,0.0,0.07344308809582299,0.0,0.0,0.0,0.0,0.0,0.0,0.05100079173052155,0.0,0.012755372643278072,0.03509955837471724,0.025596144433799223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06171425827598508,0.0,0.0,0.011289796388364652,0.0,0.0,0.0,0.01042725142887495,0.0,0.0,0.0,0.0,0.18827710912188403,0.12020199542011911,0.2199049058566852,0.1246072405097376,0.05376156730879467
2013-07-09,0.09733986166251225,0.0,0.0,0.0,0.0,0.0,0.0,0.01180552871622941,0.0,0.0,0.058730242124056704,0.0,0.04611697620828778,0.02165514866534632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04728762101409864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20391045011165113,0.1321734687335439,0.20197619411762258,0.13624880810209047,0.042755700544560786
2013-07-10,0.0,0.0,0.0,0.08286212128686955,0.0,0.0,0.0,0.0,0.0,0.0,0.045956171255428384,0.0,0.07208046386772342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08312677562375267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871987420742821,0.13105269812342302,0.21533880838709338,0.1439153272380261,0.038468892143401365
2013-07-11,0.0,0.0,0.0,0.022600949431450638,0.0,0.011654661585773657,0.0,0.0,0.0,0.0,0.03653600788808922,0.0,0.058951298669966734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01094215864660502,0.0,0.1399567144539091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17417345366701475,0.15531393597666854,0.21680062184967086,0.13449874415882404,0.03857145367202743
2013-07-12,0.05073644166248942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04523753067898257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05820550511785813,0.0,0.12451734168500318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581344049291324,0.1720137513797392,0.21859111022020827,0.12426105766515394,0.04830285666143282
2013-07-13,0.20807252017663622,0.0,0.0,0.012246952397847654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05993071004388714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15715935239314655,0.17935147554391248,0.22166857375377422,0.11767249930724268,0.043897916383553115
2013-07-14,0.0,0.0,0.0,0.02392268364780215,0.0,0.0,0.0,0.0,0.0,0.0,0.044174480263856376,0.0,0.0,0.0,0.0253258592184681,0.0,0.0,0.0,0.0,0.0,0.037946803963402574,0.0,0.14725947768479405,0.0,0.0,0.0,0.0,0.01453798952389272,0.0,0.0,0.0,0.0,0.0,0.0,0.15470085101958428,0.16779531795522332,0.23345815244941248,0.12134444325927206,0.029533941014291822
2013-07-15,0.09731677049016722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011927082581262483,0.0,0.0,0.09253698149179197,0.0,0.0,0.0,0.0,0.0,0.0,0.058114364699060755,0.0,0.027885970020554807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19340758290169094,0.1330801689796262,0.21119943278869527,0.13942510435433225,0.03510654169281803
2013-07-16,0.035937959313570744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18244820786264007,0.0,0.03641410406302193,0.027660906270297173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013155597632093412,0.0,0.0,0.0,0.0,0.01242678016271117,0.0,0.0,0.0,0.23351349525157603,0.08133522788986446,0.2091102503003223,0.1324344288907972,0.035563042363105445
