datetime,Nashville_broken clouds,Nashville_few clouds,Nashville_fog,Nashville_freezing rain,Nashville_haze,Nashville_heavy intensity rain,Nashville_heavy snow,Nashville_light intensity drizzle,Nashville_light rain,Nashville_light shower snow,Nashville_light snow,Nashville_mist,Nashville_moderate rain,Nashville_overcast clouds,Nashville_proximity thunderstorm,Nashville_proximity thunderstorm with rain,Nashville_scattered clouds,Nashville_shower snow,Nashville_sky is clear,Nashville_smoke,Nashville_snow,Nashville_squalls,Nashville_thunderstorm,Nashville_thunderstorm with heavy rain,Nashville_thunderstorm with light rain,Nashville_thunderstorm with rain,Nashville_very heavy rain,Nashville_nan,humidity,wind_direction,temperature,pressure,wind_speed
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012304045016510584,0.0,0.0,0.043273801649516296,0.015260367975000556,0.0,0.0,0.0,0.0,0.0,0.2829926848605938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13548441885406645,0.2496201536990692,0.08766803492331186,0.13683043629797392,0.0365660567239574
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34561749544813947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12849512040167302,0.2039552866978203,0.15943375711181407,0.13060420604704873,0.03189413429350448
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637463486616732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2776472814226795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347478342396731,0.1934520448891135,0.084340334974308,0.19506980270186589,0.03836806690619268
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747359693078783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23241330324238144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12896739545201016,0.2031279030166896,0.1177417210684034,0.18694101473593497,0.03333506555379262
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06969711050946659,0.0,0.0,0.013658396993695407,0.0,0.023560693350014265,0.0,0.0,0.0,0.0,0.2195557649918679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886508817484923,0.20805218015170035,0.15156246092812223,0.14875370049730852,0.03629460440297554
2014-01-11,0.0,0.0,0.0,0.0,0.0,0.01223190032944505,0.0,0.0,0.03014267272437167,0.0,0.0,0.0646759181117821,0.07554813304339675,0.0,0.0,0.0,0.01264145422808339,0.0,0.17337406927859142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387649905062323,0.16331110628399684,0.20440507706299005,0.09891803480237084,0.025986643628739623
2014-01-12,0.0,0.0,0.019972310923819715,0.0,0.0,0.0,0.0,0.0,0.028651960644302987,0.0,0.0,0.01781535557228283,0.0,0.0,0.0,0.0,0.0,0.0,0.31522843907956943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15415520578730355,0.129442331637883,0.16762325287471377,0.150285821756959,0.0168253217231658
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049369566026757544,0.0,0.0,0.0,0.10742760955053504,0.0,0.0,0.0,0.0,0.0,0.2059120602791128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13299338648068199,0.17563289504946658,0.1811626007166546,0.12629388641627806,0.02120799548051344
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04265515223502079,0.0,0.0,0.028337161819753764,0.028319378465898926,0.0,0.0,0.0,0.0,0.0,0.22713081967127746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14663727595824017,0.2076211171590282,0.19353447624812367,0.09619174705785034,0.035682757883066754
2014-01-15,0.012168342452035122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011034250861044016,0.0,0.0,0.0,0.0,0.011101668333296573,0.0,0.0,0.012335100933716862,0.0,0.2889546401951113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14027462363485585,0.22162552836382754,0.12934903763477565,0.1349366973394643,0.03822011025187278
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36215782110792655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16727928156770935,0.17881068249023546,0.1077909680435963,0.14169450963081487,0.04226673715971749
2014-01-17,0.036161575702287736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02894317473712016,0.0,0.0,0.0,0.0,0.2603564629806538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13315139396386796,0.22090926341495976,0.18788115408118622,0.09287727321556637,0.04526767665285258
2014-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013908181393415896,0.0,0.0,0.0,0.0,0.3139929676135704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200758859537459,0.2157464722165335,0.21339391789139875,0.08567643718648071,0.03720613774485491
2014-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013632504553249407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33305202505498094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319022771634198,0.19769638285105695,0.1770445504394762,0.12050878597703311,0.02616347396078365
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0134484871504029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674909687147629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14066079988801827,0.14731047790640972,0.1727059686126845,0.1361826950909777,0.022200602636744133
