datetime,Saint Louis_broken clouds,Saint Louis_drizzle,Saint Louis_few clouds,Saint Louis_fog,Saint Louis_freezing rain,Saint Louis_haze,Saint Louis_heavy intensity drizzle,Saint Louis_heavy intensity rain,Saint Louis_heavy snow,Saint Louis_light intensity drizzle,Saint Louis_light intensity shower rain,Saint Louis_light rain,Saint Louis_light snow,Saint Louis_mist,Saint Louis_moderate rain,Saint Louis_overcast clouds,Saint Louis_proximity thunderstorm,Saint Louis_proximity thunderstorm with rain,Saint Louis_scattered clouds,Saint Louis_shower drizzle,Saint Louis_sky is clear,Saint Louis_sleet,Saint Louis_smoke,Saint Louis_snow,Saint Louis_squalls,Saint Louis_thunderstorm,Saint Louis_thunderstorm with heavy rain,Saint Louis_thunderstorm with light drizzle,Saint Louis_thunderstorm with light rain,Saint Louis_thunderstorm with rain,Saint Louis_very heavy rain,Saint Louis_nan,humidity,wind_direction,temperature,pressure,wind_speed
2013-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03629006628640125,0.0,0.08772202764036453,0.0,0.0677344304373926,0.011068763049768131,0.09677625464941385,0.0,0.0,0.01448908039572989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737409523497986,0.10300285047916592,0.17004686674171357,0.10707790180910869,0.03205080616114301
2013-05-07,0.03561284718346714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014149396950644653,0.0,0.0,0.0,0.01360255856393164,0.0,0.2448583718065085,0.0,0.0,0.010829883997195129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24326743857713992,0.11100903534856556,0.19673135275499365,0.10438620635424002,0.0356890517373613
2013-05-08,0.04856759820529922,0.0,0.0,0.0,0.0,0.027874583486340643,0.0,0.0,0.0,0.0,0.0,0.014403005873075699,0.0,0.028962707265366056,0.0,0.1835447509758061,0.0,0.0,0.02965080462752866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2364775244218202,0.0841479802767729,0.22259855857412655,0.11764205701232783,0.006130429281536186
2013-05-09,0.08835936831502539,0.0,0.07154116471164639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08688113280214983,0.0,0.01405273879573732,0.0,0.0,0.014705074140854342,0.0,0.07168449277621837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21305034722089652,0.06565814820906477,0.23884699350087815,0.12530392961672512,0.009916609910803826
2013-05-10,0.0244804724875536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01511235118498494,0.0,0.034663003145486156,0.0,0.010844846684500671,0.011429180238144447,0.1494937063399943,0.027827805955212347,0.0,0.025461825012413942,0.0,0.0,0.0,0.0,0.0,0.0,0.01196709951892381,0.0,0.0,0.0,0.0,0.0,0.0,0.22587739336373505,0.1274400134630476,0.21696527168263047,0.10269315319987057,0.029434317163652312
2013-05-11,0.011188232501144257,0.0,0.011430627275452935,0.0,0.0,0.010442488692108972,0.0,0.0,0.0,0.01141551393704983,0.0,0.03039377974196138,0.0,0.03427518767228577,0.0,0.16098698744542414,0.01230443037206065,0.0,0.015200895883655655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22985723104175734,0.18767587738987915,0.19817839483869035,0.09073811347681204,0.028425148340137697
2013-05-12,0.050127430946152296,0.0,0.058760263823264595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09787594849218907,0.0,0.0,0.06065847868037544,0.0,0.03127417457819929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1966521726313984,0.2551746201553546,0.18670832868907508,0.1017225336767753,0.035356687624169665
2013-05-13,0.0,0.0,0.012128554359004633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400052151758433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12006693668599851,0.22592397546922297,0.19776399373733813,0.1506377630824857,0.029789181352042754
2013-05-14,0.01588220237951304,0.0,0.04437533347703785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06231613908899412,0.0,0.23828804974622927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18089410825432048,0.10699577658223079,0.2099951344333032,0.15872564164079261,0.012676632439965413
2013-05-15,0.0,0.0,0.05474284857572768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07153571609609936,0.0,0.20107475915406495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511685024371793,0.16166121772780764,0.234789484407697,0.10740559858674192,0.040993169093777114
