datetime,Toronto_broken clouds,Toronto_drizzle,Toronto_few clouds,Toronto_fog,Toronto_freezing rain,Toronto_haze,Toronto_heavy intensity rain,Toronto_heavy intensity shower rain,Toronto_heavy shower snow,Toronto_heavy snow,Toronto_light intensity drizzle,Toronto_light intensity drizzle rain,Toronto_light intensity shower rain,Toronto_light rain,Toronto_light rain and snow,Toronto_light shower sleet,Toronto_light shower snow,Toronto_light snow,Toronto_mist,Toronto_moderate rain,Toronto_overcast clouds,Toronto_proximity shower rain,Toronto_proximity thunderstorm,Toronto_rain and snow,Toronto_scattered clouds,Toronto_shower rain,Toronto_shower snow,Toronto_sky is clear,Toronto_snow,Toronto_squalls,Toronto_thunderstorm,Toronto_thunderstorm with heavy rain,Toronto_thunderstorm with light rain,Toronto_thunderstorm with rain,Toronto_very heavy rain,Toronto_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-09-13,0.011856046296457977,0.0,0.01157462235353801,0.012799809924598055,0.0,0.035456471573369695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011758206101574348,0.0,0.0,0.201934705354614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22144818276171063,0.07282956202165465,0.2059961988689564,0.18254625110179634,0.03179994364172984
2017-09-14,0.010912855260049606,0.0,0.021600051577530092,0.0,0.0,0.06796928377876439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010696991696976783,0.0,0.0,0.0,0.0,0.0,0.01057672075586377,0.0,0.0,0.14749416692700576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21309048310331077,0.11285121669007137,0.20528149065503318,0.1692179635234131,0.0303087760319812
2017-09-15,0.010268675566705042,0.0,0.010419854338276554,0.0,0.0,0.10851586890401788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05421885338057683,0.0,0.0,0.0,0.010179237520088424,0.0,0.0,0.06300766650092454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17612715489544684,0.16365406442032007,0.2015233418422484,0.17483276095134773,0.02725252168004767
2017-09-16,0.01087971644432667,0.0,0.023130116148571567,0.010369470083707715,0.0,0.0330362120243193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527971223355178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12961269302357623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18764857185894598,0.13919474242522095,0.201869869583426,0.18668160193913108,0.024779884133256744
2017-09-17,0.0,0.0,0.0,0.012343846979679031,0.0,0.045221898414519485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04535782488351842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17411326643934108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22308936763742637,0.05844675614452133,0.212206403091496,0.19680880040402793,0.03241183600547034
2017-09-18,0.0,0.0,0.0,0.011527238988390516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12572194942799172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355762462350566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232733346701035,0.057948214414903804,0.21245739737798577,0.18894896273945663,0.035086644115179914
2017-09-19,0.05461229459990993,0.0,0.011871318722374407,0.011585945107405016,0.0,0.010971127214711574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034054803066387834,0.0,0.06810885492475846,0.01133764283763875,0.0,0.0,0.011900714172418404,0.0,0.0,0.05646675899314083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22320875625048361,0.06850234410540658,0.21482734513257584,0.18462783442433575,0.03792426044845305
2017-09-20,0.022626260989491876,0.0,0.011621414858653105,0.02303504981218964,0.0,0.04625255750211318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06747204553637078,0.0,0.0,0.0,0.0,0.0,0.032157583102118664,0.0,0.0,0.06974161682870829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22678493671081326,0.05652456833555696,0.21375511586798943,0.1861408819946857,0.043887968461309136
2017-09-21,0.0,0.0,0.0,0.012276075566971724,0.0,0.011514502295691094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25688122990621537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20887172379288935,0.06081368079406909,0.21979026660210596,0.1961157354427474,0.03373678559931003
2017-09-22,0.0,0.0,0.0,0.0,0.0,0.046638242670339815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012052612572591262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22405987571004085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955076869691411,0.06388217002794223,0.223265404282004,0.20065214230536924,0.033941865462571566
