datetime,Phoenix_broken clouds,Phoenix_drizzle,Phoenix_dust,Phoenix_few clouds,Phoenix_fog,Phoenix_haze,Phoenix_heavy intensity rain,Phoenix_heavy snow,Phoenix_light intensity drizzle,Phoenix_light intensity shower rain,Phoenix_light rain,Phoenix_mist,Phoenix_moderate rain,Phoenix_overcast clouds,Phoenix_proximity sand/dust whirls,Phoenix_proximity shower rain,Phoenix_proximity thunderstorm,Phoenix_scattered clouds,Phoenix_shower rain,Phoenix_sky is clear,Phoenix_smoke,Phoenix_thunderstorm,Phoenix_thunderstorm with heavy rain,Phoenix_thunderstorm with light rain,Phoenix_thunderstorm with rain,Phoenix_very heavy rain,Phoenix_nan,humidity,wind_direction,temperature,pressure,wind_speed
2012-11-03,0.01700914123456631,0.0,0.0,0.07136740753318299,0.0,0.19245691485895597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032522154268821386,0.0,0.10821226751575581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916390072750988,0.06513962379402699,0.21758741826450403,0.28048760715333987,0.004691020355466536
2012-11-04,0.0,0.0,0.0,0.08231159594380173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04402968900811871,0.0,0.2852992992336097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490531298632314,0.03693427638543239,0.20949174108456178,0.27458293112880755,0.004053393403326379
2012-11-05,0.0,0.0,0.0,0.04665868457483163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3604809286430464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10389904910808265,0.1361107531806551,0.2109595590802539,0.2545104528986082,0.002521279470582185
2012-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39644797493408285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05006601072033085,0.12178415021958557,0.22478226992638617,0.21475304381330965,0.014234804930774891
2012-11-07,0.0,0.0,0.0,0.0,0.0,0.04409740641411261,0.0,0.0,0.017443068355919432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33943550954764984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08468901882039127,0.048828262909617254,0.2147292502040512,0.2780620986192963,0.005473560609863888
2012-11-08,0.0,0.0,0.0,0.017196049807173756,0.0,0.08409534855065236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3122452280465896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10031885342821477,0.06517599553028096,0.21589372938085005,0.2768942030564373,0.0035892916257700765
2012-11-09,0.027497580604911448,0.0,0.0,0.013719568929073077,0.0,0.06928199445812412,0.0,0.0,0.01339361106871025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10065441229527011,0.0,0.19114645552794285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08416271847613022,0.12691527074354916,0.20708798146060092,0.26428835861579997,0.006498716775397522
2012-11-10,0.15451832844646504,0.0,0.0,0.014779689206725325,0.0,0.0,0.0,0.0,0.013427909410785227,0.0258761649407649,0.011097671965710024,0.0,0.0,0.014327993499859202,0.0,0.0,0.0,0.040122818695888476,0.0,0.06736936913154926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594142159827976,0.12455583123842034,0.16992385615887998,0.21904998665223385,0.01707484822284006
2012-11-11,0.10709470850355102,0.0,0.0,0.04356574990352816,0.0,0.0,0.0,0.0,0.012001251489445879,0.0,0.032864803243445734,0.0,0.0,0.06888502537350538,0.0,0.012144858624891132,0.0,0.0,0.0,0.08352300949519968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11941435025681815,0.21979993561287794,0.14079631704101098,0.22000910453254532,0.021349451358244963
2012-11-12,0.04181091080961946,0.0,0.0,0.01764593996742909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3537245497952822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10777810183549416,0.1547501939015172,0.1425687963870864,0.23110080054434265,0.016729723845215948
