datetime,Las Vegas_broken clouds,Las Vegas_drizzle,Las Vegas_dust,Las Vegas_few clouds,Las Vegas_fog,Las Vegas_haze,Las Vegas_heavy intensity drizzle,Las Vegas_heavy intensity rain,Las Vegas_light intensity drizzle,Las Vegas_light intensity shower rain,Las Vegas_light rain,Las Vegas_light snow,Las Vegas_mist,Las Vegas_moderate rain,Las Vegas_overcast clouds,Las Vegas_proximity thunderstorm,Las Vegas_scattered clouds,Las Vegas_sky is clear,Las Vegas_squalls,Las Vegas_thunderstorm,Las Vegas_thunderstorm with heavy rain,Las Vegas_thunderstorm with light rain,Las Vegas_thunderstorm with rain,Las Vegas_nan,humidity,wind_direction,temperature,pressure,wind_speed
2015-10-17,0.012124777551655247,0.0,0.0,0.01190827395022311,0.0,0.0,0.0,0.0,0.0,0.0,0.2565842678842449,0.0,0.0,0.0,0.0,0.0,0.012741606443945244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012718755412761,0.07880048192289847,0.1618019880510766,0.23886597838672,0.02590075026796036
2015-10-18,0.026856291811601745,0.0,0.0,0.012467986686773187,0.0,0.0,0.0,0.021663444499312345,0.0,0.0,0.02456924915647043,0.0,0.0,0.07237485867708494,0.0,0.0,0.03643490099323843,0.09867123269198545,0.0,0.0,0.0,0.0,0.0,0.0,0.1850557585125265,0.0912794496263349,0.16731474337872854,0.2276802593927245,0.035631824573219034
2015-10-19,0.022133039603966034,0.0,0.0,0.036525755906402974,0.0,0.0,0.0,0.0,0.0,0.0,0.03443907568162365,0.0,0.0,0.0,0.0,0.022186036642747126,0.010581778578464365,0.1659100547489015,0.0,0.0,0.0,0.0,0.0,0.0,0.1854742748763145,0.11828272647735333,0.15379415750078823,0.22269682693069448,0.027976273052743847
2015-10-20,0.02039419438670349,0.0,0.0,0.04587561871799789,0.0,0.0,0.0,0.0,0.0,0.0,0.01382329282780823,0.0,0.0,0.0,0.0,0.0,0.021109720978246344,0.17566013209414497,0.0,0.0,0.0,0.0,0.0,0.0,0.13670517387449507,0.1801318259155614,0.1464668189539254,0.2129438186207925,0.0468894036303247
2015-10-21,0.01042282276649272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024396490880794108,0.0,0.0,0.0,0.04727201529821859,0.0,0.03886284389681637,0.16049520808723303,0.0,0.0,0.0,0.0,0.0,0.0,0.10780995869988075,0.1886339331709934,0.1585174418583128,0.21610861153159833,0.05774652628707965
2015-10-22,0.013303421553602724,0.0,0.0,0.041387541695948236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24994231912451048,0.0,0.0,0.0,0.0,0.0,0.0,0.14661424026372105,0.12223149519002001,0.16622948564228915,0.23628530601457895,0.024006190515329425
2015-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31452336111808205,0.0,0.0,0.0,0.0,0.0,0.0,0.1439771455639451,0.09857415873805152,0.172771584360598,0.25270829130571687,0.017445458913606427
2015-10-24,0.0,0.0,0.0,0.04493664123457039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553107730111954,0.0,0.0,0.0,0.0,0.0,0.0,0.1425489091585424,0.1449609239387943,0.13464362220535017,0.2636654508442038,0.01393367960734345
2015-10-25,0.10016147605789662,0.0,0.0,0.04147417128259768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06876170880287545,0.0,0.08449148307647648,0.014431850834326755,0.0,0.0,0.0,0.0,0.0,0.0,0.14178402484369382,0.13162908634187356,0.13666158548715035,0.26966103765369526,0.010943575619413969
2015-10-26,0.03920487394106468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013674083939859938,0.0,0.034926321233897946,0.20359742439169315,0.0,0.0,0.0,0.0,0.0,0.0,0.16097283578771696,0.14814739086689482,0.1322913887739869,0.25256838529821946,0.014617295766666092
