datetime,Montreal_broken clouds,Montreal_drizzle,Montreal_dust,Montreal_few clouds,Montreal_fog,Montreal_freezing rain,Montreal_haze,Montreal_heavy intensity rain,Montreal_heavy intensity shower rain,Montreal_heavy shower snow,Montreal_heavy snow,Montreal_light intensity drizzle,Montreal_light intensity drizzle rain,Montreal_light intensity shower rain,Montreal_light rain,Montreal_light rain and snow,Montreal_light shower sleet,Montreal_light shower snow,Montreal_light snow,Montreal_mist,Montreal_moderate rain,Montreal_overcast clouds,Montreal_proximity shower rain,Montreal_proximity thunderstorm,Montreal_sand,Montreal_scattered clouds,Montreal_shower drizzle,Montreal_shower rain,Montreal_shower snow,Montreal_sky is clear,Montreal_smoke,Montreal_snow,Montreal_thunderstorm,Montreal_thunderstorm with heavy rain,Montreal_thunderstorm with light rain,Montreal_thunderstorm with rain,Montreal_very heavy rain,Montreal_nan,humidity,wind_direction,temperature,pressure,wind_speed
2017-06-03,0.07045765035612427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496194019667568,0.020110728641526267,0.0,0.0,0.0,0.0,0.0395385749463124,0.0,0.05027412676590214,0.009427243933285685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18299516115362022,0.18743392887039137,0.1544493055909509,0.19702228789262963,0.03867158988250035
2017-06-04,0.14851921056995052,0.0,0.0,0.020250350901230982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010164311856234122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021950016267165584,0.011102535327841516,0.0,0.0,0.04216376210638182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688829027686185,0.16139743201748988,0.18054017595167582,0.20938536623030266,0.02564393600310862
2017-06-05,0.011738543275831672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06807327551920962,0.0,0.0,0.0,0.0,0.08658887314311302,0.0,0.09054617092686534,0.010379186220336152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21202271187776464,0.08191918881249162,0.1831987918587741,0.21609292340705855,0.039440334958555284
2017-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657451481898725,0.0,0.0,0.0,0.0,0.12021809585359938,0.0,0.0819352989025324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23197129493791113,0.04368291787503109,0.1751723340905168,0.2202574089315051,0.06101750121903155
2017-06-07,0.020235348825340917,0.0,0.0,0.12354103480708119,0.0,0.0,0.020381784924827506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020790422009963772,0.0,0.0,0.0,0.0,0.0,0.010122292561314443,0.0,0.0,0.0,0.051973115753251885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18641393568160058,0.15398743749185476,0.17182756829698823,0.2055193187343541,0.035207740913422624
2017-06-08,0.021378928223667836,0.0,0.0,0.09489187100700265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021820450012835366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11427137766372329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14824856553339869,0.15286794824985914,0.19633843428145137,0.20864231509234,0.04154010993572168
2017-06-09,0.08456650397434655,0.0,0.0,0.010055251716390491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11647113112804226,0.0425173930985574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12912415175795236,0.16986345903812428,0.19825148753848673,0.19991795864743503,0.04923266310066494
2017-06-10,0.08045173400928035,0.0,0.0,0.15945314448369907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010687511416963724,0.0,0.0,0.0,0.02307471870038837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13927422742213572,0.13831429614139545,0.19962860311885264,0.22238651341396973,0.026729251293314948
2017-06-11,0.10434301815995428,0.0,0.0,0.05937865789780352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02126473017014378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030788508105523024,0.0,0.0,0.0,0.019552668799318263,0.0,0.0,0.0,0.009735461405029561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339294110064195,0.14590608635379496,0.20529235925955344,0.1970256749761645,0.0727834238662952
2017-06-12,0.12031608052117289,0.0,0.0,0.040264117520263744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010249722428089213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009874330537778838,0.0,0.0,0.0,0.050170410148227186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009025419156671778,0.0,0.0,0.14803488403618542,0.15496354491407013,0.20527421892638464,0.194995546338082,0.05683172547307422
